,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VMAP,Day_Perc_Change,Trend
349,HINDUNILVR,EQ,2018-10-09,1559.35,1563.0,1570.0,1492.5,1507.0,1512.45,1522.0,1562134,2377570224.55,66832,734437,47.01,10,2018,1381.8562928090143,-0.030076634495142085,Among top losers
350,HINDUNILVR,EQ,2018-10-10,1512.45,1512.5,1543.2,1490.55,1523.05,1527.65,1517.7,2294071,3481720482.85,95139,1183071,51.57,10,2018,1382.6141582960554,0.010049919005586938,Positive
351,HINDUNILVR,EQ,2018-10-11,1527.65,1490.0,1540.0,1477.2,1537.1,1526.1,1499.63,1823960,2735267035.5,108518,1066711,58.48,10,2018,1383.2047395126572,-0.001014630314535525,Slight or No change
352,HINDUNILVR,EQ,2018-10-12,1526.1,1555.5,1577.5,1540.1,1565.8,1569.6,1560.56,1728063,2696746737.2,78027,759084,43.93,10,2018,1383.928774322316,0.02850402988008649,Positive
353,HINDUNILVR,EQ,2018-10-15,1569.6,1549.7,1592.95,1500.0,1530.55,1526.3,1521.84,3913322,5955442475.1,119926,1124755,28.74,10,2018,1385.1702243577367,-0.027586646279306848,Negative
354,HINDUNILVR,EQ,2018-10-16,1526.3,1535.7,1557.55,1526.5,1547.5,1546.2,1543.19,1374834,2121632897.35,53801,636842,46.32,10,2018,1385.6620254399202,0.013038065911026742,Positive
355,HINDUNILVR,EQ,2018-10-17,1546.2,1558.1,1577.8,1546.05,1564.0,1562.0,1564.12,1223188,1913208145.55,49892,553256,45.23,10,2018,1386.139877663386,0.010218600439787728,Positive
356,HINDUNILVR,EQ,2018-10-19,1562.0,1551.2,1585.75,1543.05,1578.75,1578.4,1570.69,932433,1464564005.6,60944,357867,38.38,10,2018,1386.5362151892002,0.01049935979513461,Positive
357,HINDUNILVR,EQ,2018-10-22,1578.4,1588.0,1590.0,1566.6,1584.0,1584.9,1582.54,614209,972007309.35,47091,250971,40.86,10,2018,1386.8052122710155,0.004118094272681283,Slight positive
358,HINDUNILVR,EQ,2018-10-23,1584.9,1575.55,1582.0,1547.5,1562.5,1552.05,1562.87,989355,1546231279.1,37654,556583,56.26,10,2018,1387.165377111882,-0.020726859738784853,Negative
